date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,surface_pressure_mean,area
2022-04-01,25.2,33.2,17.5,40,0.0,11.5,980.0,Amritsar
2022-04-02,24.5,33.7,16.2,51,0.0,13.0,980.5,Amritsar
2022-04-03,24.7,33.5,18.3,51,0.0,12.8,980.7,Amritsar
2022-04-04,25.8,35.1,16.9,44,0.0,10.4,980.9,Amritsar
2022-04-05,27.9,35.3,18.9,36,0.0,8.6,983.6,Amritsar
2022-04-06,27.5,36.0,17.6,38,0.0,10.8,983.3,Amritsar
2022-04-07,27.8,37.4,19.4,36,0.0,13.0,982.4,Amritsar
2022-04-08,28.0,37.2,18.2,42,0.0,12.1,980.0,Amritsar
2022-04-09,27.2,37.1,18.6,52,0.0,9.8,978.6,Amritsar
2022-04-10,28.9,38.2,19.9,41,0.0,10.7,977.9,Amritsar
2022-04-11,28.7,38.5,20.1,46,0.0,11.8,976.6,Amritsar
2022-04-12,29.3,37.4,22.8,38,0.0,11.9,975.7,Amritsar
2022-04-13,28.9,37.4,21.0,35,0.0,16.3,976.3,Amritsar
2022-04-14,27.0,35.3,20.3,37,0.1,16.9,976.6,Amritsar
2022-04-15,26.8,34.5,19.0,38,0.0,15.9,977.0,Amritsar
2022-04-16,27.5,36.4,18.7,38,0.0,14.0,976.4,Amritsar
2022-04-17,27.9,37.1,18.9,40,0.0,12.3,977.2,Amritsar
2022-04-18,29.0,38.4,20.4,41,0.0,9.7,978.9,Amritsar
2022-04-19,29.9,38.3,21.8,35,0.0,16.2,980.7,Amritsar
2022-04-20,30.0,38.2,22.0,31,0.0,24.3,979.3,Amritsar
2022-04-21,28.2,36.0,21.4,34,1.8,20.9,979.8,Amritsar
2022-04-22,27.5,35.0,19.6,36,0.0,12.7,982.1,Amritsar
2022-04-23,27.5,35.6,20.3,36,0.0,13.0,981.9,Amritsar
2022-04-24,28.0,36.5,19.6,34,0.0,14.5,979.7,Amritsar
2022-04-25,28.8,37.4,21.3,33,0.0,20.5,977.9,Amritsar
2022-04-26,29.3,37.8,20.9,32,0.0,13.0,978.9,Amritsar
2022-04-27,30.3,39.3,21.2,30,0.0,12.4,977.8,Amritsar
2022-04-28,32.1,41.4,25.0,30,0.0,11.3,977.5,Amritsar
2022-04-29,32.3,41.5,24.7,26,0.0,17.2,977.7,Amritsar
2022-04-30,31.4,41.1,23.7,30,0.0,13.9,974.3,Amritsar
2022-05-01,30.9,39.7,23.0,35,0.0,25.4,973.7,Amritsar
2022-05-02,32.2,39.9,25.2,36,0.1,17.4,973.9,Amritsar
2022-05-03,31.4,36.5,25.7,42,0.0,21.1,976.2,Amritsar
2022-05-04,29.2,34.7,24.8,45,0.3,22.9,979.1,Amritsar
2022-05-05,29.3,36.9,21.7,43,0.0,13.2,979.5,Amritsar
2022-05-06,29.6,38.1,22.7,37,0.0,14.1,979.0,Amritsar
2022-05-07,30.2,38.2,22.1,38,0.0,13.5,978.6,Amritsar
2022-05-08,31.1,39.4,22.8,37,0.0,12.5,976.2,Amritsar
2022-05-09,31.4,37.9,25.5,39,0.0,24.7,976.2,Amritsar
2022-05-10,31.5,37.7,26.2,47,0.1,12.4,976.5,Amritsar
2022-05-11,32.3,41.8,25.4,45,0.0,16.7,974.6,Amritsar
2022-05-12,32.8,41.1,25.9,43,0.0,25.2,973.0,Amritsar
2022-05-13,33.6,42.2,26.4,32,0.0,15.6,971.1,Amritsar
2022-05-14,33.6,43.3,24.7,21,0.0,12.6,970.5,Amritsar
2022-05-15,34.5,44.7,23.8,23,0.0,19.6,971.2,Amritsar
2022-05-16,34.4,41.6,27.7,20,0.0,25.1,972.1,Amritsar
2022-05-17,32.8,39.1,26.2,31,0.0,18.0,973.4,Amritsar
2022-05-18,33.4,41.4,25.2,28,0.0,17.6,975.1,Amritsar
2022-05-19,33.9,42.5,27.4,27,0.0,24.3,974.4,Amritsar
2022-05-20,34.7,43.8,26.5,23,0.0,18.1,970.9,Amritsar
2022-05-21,32.9,40.2,24.6,25,0.0,17.6,969.4,Amritsar
2022-05-22,32.6,40.6,23.8,25,0.0,16.2,967.7,Amritsar
2022-05-23,28.0,33.3,20.5,45,6.6,26.9,970.8,Amritsar
2022-05-24,24.4,30.3,19.2,63,5.5,21.7,978.7,Amritsar
