date,state,area,number_of_monitoring_stations,prominent_pollutants,aqi_value,air_quality_status,unit,note,fireCount,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_max,surface_pressure_mean
2022-04-01,Punjab,Amritsar,1.0,PM10,101.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,25.2,33.2,17.5,40,0.0,11.5,980.0
2022-04-01,Punjab,Bathinda,1.0,PM10,60.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.8,36.0,18.8,25,0.0,16.6,983.4
2022-04-01,Punjab,Jalandhar,1.0,PM10,117.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,23.4,32.1,14.6,51,0.0,12.5,979.0
2022-04-01,Punjab,Ludhiana,1.0,PM10,126.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,25.8,34.8,17.5,35,0.0,15.1,978.1
2022-04-01,Punjab,Patiala,1.0,PM10,130.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.4,36.4,19.3,30,0.0,17.9,977.4
2022-04-01,Punjab,Rupnagar,1.0,PM10,103.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,25.0,33.9,17.5,49,0.0,15.7,976.2
2022-04-02,Punjab,Amritsar,1.0,PM10,116.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,24.5,33.7,16.2,51,0.0,13.0,980.5
2022-04-02,Punjab,Bathinda,1.0,PM10,74.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.9,37.3,17.8,30,0.0,15.9,983.3
2022-04-02,Punjab,Jalandhar,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,24.6,34.5,16.0,53,0.0,10.4,979.7
2022-04-02,Punjab,Ludhiana,1.0,PM10,165.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.1,37.1,16.8,42,0.0,14.0,978.8
2022-04-02,Punjab,Patiala,1.0,PM10,125.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0,27.9,37.4,18.2,36,0.0,14.1,978.5
2022-04-02,Punjab,Rupnagar,1.0,PM10,151.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,25.3,35.4,14.0,42,0.0,11.2,977.6
2022-04-03,Punjab,Amritsar,1.0,PM10,97.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0,24.7,33.5,18.3,51,0.0,12.8,980.7
2022-04-03,Punjab,Bathinda,1.0,PM10,87.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.8,37.5,19.5,25,0.0,12.9,983.0
2022-04-03,Punjab,Jalandhar,1.0,PM10,76.0,Satisfactory,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,1.0,25.1,35.4,17.2,38,0.0,14.6,979.6
2022-04-03,Punjab,Ludhiana,1.0,PM10,152.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,27.7,38.5,18.3,24,0.0,15.0,978.5
2022-04-03,Punjab,Patiala,1.0,O3,177.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,28.7,38.0,20.7,22,0.0,13.4,978.1
2022-04-03,Punjab,Rupnagar,1.0,PM10,153.0,Moderate,"number_of_monitoring_stations in Absolute Number, aqi_value in Indices",,0.0,26.4,36.6,16.9,29,0.0,14.5,977.2
